X..name,mass,radius,orbital_period,eccentricity,discovered,detection_type,mass_detection_type,radius_detection_type,ra,dec,star_distance,star_metallicity,star_mass,star_radius,star_age,star_teff,detection,mass_group,radius_group,star_mass_group,star_radius_group,discovery_group,metallicity_group,temperature_group
Kepler-711 b,NA,0.304,23.58914398,NA,2016,Primary Transit,,,297.460015,42.839924,664,-0.04,0.84,0.8,NA,5222,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-712 b,NA,0.304,21.02247699,NA,2016,Primary Transit,,,294.909734,42.935261,944,-0.03,0.84,0.78,NA,5148,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-712 c,NA,0.433,226.89047,NA,2016,Primary Transit,,,294.909734,42.935261,944,-0.03,0.84,0.78,NA,5148,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-713 b,NA,0.221,7.411141,NA,2016,Primary Transit,,,295.651502,43.029831,1003,-0.03,0.98,0.99,NA,5785,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-714 b,NA,0.863,8.09888799,NA,2016,Primary Transit,,,282.699531,43.272743,1460,0.04,1.09,1.12,NA,5995,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-715 b,NA,0.335,10.00652995,NA,2016,Primary Transit,,,283.630767,43.379398,1214,0.02,1.04,1.04,NA,5871,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-716 b,NA,0.259,10.37168453,NA,2016,Primary Transit,,,290.393214,43.363899,675,0,0.83,0.78,NA,5099,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-717 b,NA,0.216,4.40840023,NA,2016,Primary Transit,,,292.965535,43.34639,1126,-0.12,0.88,0.85,NA,5485,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-718 b,NA,1.477,2.0523499,NA,2016,Primary Transit,,,299.561877,43.503559,1520,0.06,1.18,1.3,NA,6191,Primary Transit,NA,large planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-719 b,NA,0.76,5.00731778,NA,2016,Primary Transit,,,295.536136,43.884453,1427,-0.02,0.99,0.98,NA,5777,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-720 b,NA,0.75,4.70832654,NA,2016,Primary Transit,,,298.635649,44.170944,880,0,0.95,0.92,NA,5618,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-721 b,NA,0.236,5.39202539,NA,2016,Primary Transit,,,284.430506,44.480534,848,-0.01,0.82,0.78,NA,5075,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-722 b,NA,0.235,4.09357325,NA,2016,Primary Transit,,,290.263285,44.55645,1375,0.02,1.03,1.05,NA,5863,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-722 c,NA,0.252,105.144749,NA,2016,Primary Transit,,,290.263285,44.55645,1375,0.02,1.03,1.05,NA,5863,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-723 b,NA,1.088,4.08227507,NA,2016,Primary Transit,,,284.830468,44.658142,965,0,0.92,0.89,NA,5539,Primary Transit,NA,NA,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-724 b,NA,0.294,3.31494634,NA,2016,Primary Transit,,,293.454838,44.792797,862,-0.02,0.9,0.86,NA,5437,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-725 b,NA,0.948,39.64317811,NA,2016,Primary Transit,,,283.977492,44.811562,778,-0.01,0.88,0.84,NA,5363,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-726 b,NA,0.291,21.80451088,NA,2016,Primary Transit,,,291.717311,44.887306,838,-0.09,0.88,0.85,NA,5452,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-727 b,NA,0.226,5.15448442,NA,2016,Primary Transit,,,294.846908,45.034416,892,-0.01,0.89,0.86,NA,5441,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-728 b,NA,0.298,5.74347727,NA,2016,Primary Transit,,,291.092356,45.115528,1236,-0.03,0.95,0.93,NA,5660,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-729 b,NA,0.319,3.16635371,NA,2016,Primary Transit,,,286.360112,45.414295,1271,-0.05,0.94,0.91,NA,5633,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-730 b,NA,0.822,6.49168426,NA,2016,Primary Transit,,,285.554804,45.578857,1455,0.07,1,1.01,NA,5726,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Rich Star,Colder than Sun
Kepler-731 b,NA,1.238,3.85560355,NA,2016,Primary Transit,,,296.393174,45.568558,1311,0.04,1.03,1.06,NA,5849,Primary Transit,NA,large planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-732 b,NA,0.194,9.46781405,NA,2016,Primary Transit,,,283.732021,45.958771,150,-0.01,0.49,0.46,NA,3631,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-732 c,NA,0.113,0.89304124,NA,2016,Primary Transit,,,283.732021,45.958771,150,-0.01,0.49,0.46,NA,3631,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-733 b,NA,0.252,20.83424726,NA,2016,Primary Transit,,,293.018285,45.914692,980,0.01,0.9,0.86,NA,5418,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-734 b,NA,0.318,6.10485286,NA,2016,Primary Transit,,,297.045638,46.027363,553,-0.17,0.85,0.78,NA,5326,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-735 b,NA,0.263,11.51516988,NA,2016,Primary Transit,,,284.688884,46.172249,790,0.07,0.85,0.8,NA,5107,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-736 b,NA,0.261,3.60147201,NA,2016,Primary Transit,,,285.391321,46.180939,1007,0.03,0.86,0.81,NA,5217,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-737 b,NA,0.175,28.59915399,NA,2016,Primary Transit,,,291.862847,46.429256,195,-0.24,0.51,0.48,NA,3813,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-738 b,NA,0.223,24.58721573,NA,2016,Primary Transit,,,287.569664,46.567859,992,-0.09,0.86,0.82,NA,5327,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-739 b,NA,0.296,12.53248465,NA,2016,Primary Transit,,,290.067985,46.57914,1128,-0.08,0.93,0.9,NA,5601,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-74 b,0.68,1.32,7.340718,0.287,2012,Primary Transit,,,293.0916667,41.3555556,1330,0.34,1.4,1.51,2.9,6050,Primary Transit,low mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
Kepler-740 b,NA,0.408,3.58410122,NA,2016,Primary Transit,,,286.482254,46.692451,1262,0.03,0.91,0.87,NA,5438,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-741 b,NA,0.265,7.03902374,NA,2016,Primary Transit,,,289.431703,46.617531,1530,0.07,1.16,1.24,NA,6129,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-742 b,NA,0.289,8.36086824,NA,2016,Primary Transit,,,283.866019,46.789589,499,0.07,0.76,0.71,NA,4642,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-743 b,NA,0.108,3.17926292,NA,2016,Primary Transit,,,295.574168,42.806436,258,0.01,0.94,0.85,NA,5486,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-744 b,NA,0.145,12.06222443,NA,2016,Primary Transit,,,296.496136,47.182865,486,0,0.94,0.93,NA,5594,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-745 b,NA,0.193,9.93143556,NA,2016,Primary Transit,,,291.49943,37.059283,1199,0.06,1.04,1.04,NA,5849,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-746 b,NA,0.099,3.48159251,NA,2016,Primary Transit,,,290.682243,37.355117,450,0.09,0.91,0.93,NA,5418,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-747 b,NA,0.47,35.61760587,NA,2016,Primary Transit,,,288.416503,41.029804,855,-0.03,0.82,0.78,NA,5096,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-748 b,NA,0.225,7.40742793,NA,2016,Primary Transit,,,292.262899,37.236992,1271,0.08,1.07,1.1,NA,5934,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-749 b,NA,0.277,17.31716585,NA,2016,Primary Transit,,,299.89723,43.903908,753,-0.11,0.79,0.75,NA,5009,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-75 b,9.9,1.03,8.884924,0.569,2013,Primary Transit,,,291.1375,36.5775,1140,-0.07,0.88,0.88,6,5330,Primary Transit,high mass planet,NA,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-750 b,NA,0.274,9.42887179,NA,2016,Primary Transit,,,289.096874,44.004379,1181,0.03,1.15,1.23,NA,6160,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-750 c,NA,0.145,4.08899022,NA,2016,Primary Transit,,,289.096874,44.004379,1181,0.03,1.15,1.23,NA,6160,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-751 b,NA,0.219,17.44490636,NA,2016,Primary Transit,,,294.843831,44.077686,748,-0.06,0.87,0.84,NA,5387,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-752 b,NA,0.251,18.82747265,NA,2016,Primary Transit,,,292.268128,37.955654,1075,-0.08,0.87,0.83,NA,5373,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-753 b,NA,0.17,5.74772501,NA,2016,Primary Transit,,,291.903273,37.902288,278,-0.03,0.68,0.65,NA,4346,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-754 b,NA,0.179,14.5596237,NA,2016,Primary Transit,,,293.254104,37.846192,1192,0.05,1.06,1.08,NA,5935,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-755 b,NA,0.157,1.26909037,NA,2016,Primary Transit,,,296.860998,41.097338,368,-0.01,0.82,0.77,NA,5043,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-755 c,NA,0.112,2.85313364,NA,2016,Primary Transit,,,296.860998,41.097338,368,-0.01,0.82,0.77,NA,5043,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-756 b,NA,0.1,1.22486632,NA,2016,Primary Transit,,,290.607939,41.201093,852,-0.19,0.82,0.79,NA,5282,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-757 b,NA,0.121,1.02267882,NA,2016,Primary Transit,,,296.680438,41.386515,1016,0.02,1.08,1.13,NA,6014,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-758 b,NA,0.221,12.1097104,NA,2016,Primary Transit,,,293.084606,41.135436,1353,-0.1,1.16,1.42,NA,6228,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-758 c,NA,0.151,4.75793986,NA,2016,Primary Transit,,,293.084606,41.135436,1353,-0.1,1.16,1.42,NA,6228,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-758 d,NA,0.189,20.4966197,NA,2016,Primary Transit,,,293.084606,41.135436,1353,-0.1,1.16,1.42,NA,6228,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-758 e,NA,0.136,8.1934719,NA,2016,Primary Transit,,,293.084606,41.135436,1353,-0.1,1.16,1.42,NA,6228,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-759 b,NA,0.203,41.805985,NA,2016,Primary Transit,,,290.131501,41.381498,892,0.06,1.04,1.04,NA,5860,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-76 b,1.96,1.25,1.54492875,NA,2013,Primary Transit,,,294.1917,39.6189,NA,-0.1,1.2,1.12,NA,6300,Primary Transit,high mass planet,large planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-760 b,NA,0.273,8.70419416,NA,2016,Primary Transit,,,287.593209,44.179417,782,0.08,0.89,0.85,NA,5322,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-760 c,NA,0.132,2.46697439,NA,2016,Primary Transit,,,287.593209,44.179417,782,0.08,0.89,0.85,NA,5322,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-761 b,NA,0.181,10.12804789,NA,2016,Primary Transit,,,290.503604,44.143581,867,-0.09,0.95,0.93,NA,5706,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-762 b,NA,1.131,3.7705521,NA,2016,Primary Transit,,,291.275634,47.329491,1465,0.02,1.06,1.08,NA,5944,Primary Transit,NA,large planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-763 b,NA,0.109,1.19655156,NA,2016,Primary Transit,,,292.144477,47.157352,902,0.01,0.84,0.8,NA,5166,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-764 b,NA,0.146,7.33683936,NA,2016,Primary Transit,,,297.393183,47.164627,1013,-0.06,0.92,0.89,NA,5557,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-765 b,NA,0.217,27.6655226,NA,2016,Primary Transit,,,283.184612,47.15567,1000,0.04,1.05,1.06,NA,5901,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-766 b,NA,0.302,6.10027804,NA,2016,Primary Transit,,,293.184531,37.969851,1614,0.09,1.1,1.15,NA,5992,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-767 b,NA,0.592,161.5280101,NA,2016,Primary Transit,,,291.579173,38.035828,1185,-0.05,0.96,0.94,NA,5694,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-768 b,NA,0.16,11.3910025,NA,2016,Primary Transit,,,294.115656,38.393485,795,-0.03,0.82,0.78,NA,5108,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-769 b,NA,0.261,7.42608998,NA,2016,Primary Transit,,,292.713101,38.358213,1362,0.06,1.19,1.28,NA,6186,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-769 c,NA,0.16,15.9870174,NA,2016,Primary Transit,,,292.713101,38.358213,1362,0.06,1.19,1.28,NA,6186,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-77 b,0.43,0.96,3.5787087,0,2013,Primary Transit,,,289.607971,44.345421,570,0.2,0.95,0.99,7.5,5520,Primary Transit,low mass planet,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-770 b,NA,0.205,18.92540274,NA,2016,Primary Transit,,,286.490428,38.374907,761,-0.01,0.94,0.92,NA,5598,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-770 c,NA,0.107,1.47532231,NA,2016,Primary Transit,,,286.490428,38.374907,761,-0.01,0.94,0.92,NA,5598,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-770 d,NA,0.125,4.15244722,NA,2016,Primary Transit,,,286.490428,38.374907,761,-0.01,0.94,0.92,NA,5598,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-771 b,NA,0.162,8.73485836,NA,2016,Primary Transit,,,287.44409,38.088431,1000,0.01,1.03,1.05,NA,5906,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-772 b,NA,0.162,12.99207337,NA,2016,Primary Transit,,,291.423583,38.216591,689,0.03,0.98,1.11,NA,5714,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Rich Star,Colder than Sun
Kepler-773 b,NA,0.128,3.74910006,NA,2016,Primary Transit,,,290.884667,38.057567,528,0.05,1.04,1.01,NA,5850,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-774 b,NA,0.283,11.0895723,NA,2016,Primary Transit,,,291.03193,38.211956,1190,0.04,1.57,2.42,NA,6403,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-775 b,NA,0.106,0.97486893,NA,2016,Primary Transit,,,291.433297,41.703438,400,-0.04,0.92,0.84,NA,5468,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-776 b,NA,0.114,4.89718784,NA,2016,Primary Transit,,,287.27264,41.635559,727,0.05,0.83,0.78,NA,5071,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-777 b,NA,0.131,5.72812599,NA,2016,Primary Transit,,,282.724059,44.346478,383,-0.17,0.58,0.56,NA,4043,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-778 b,NA,0.15,3.75574426,NA,2016,Primary Transit,,,287.477437,44.237514,899,-0.09,0.81,0.77,NA,5102,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-779 b,NA,0.082,7.09714223,NA,2016,Primary Transit,,,285.628532,44.310889,224,-0.43,0.46,0.44,NA,3804,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-78 b,0.00531730799484,0.107057020353,0.35500745,NA,2013,Primary Transit,,,293.7417,44.4483,NA,-0.14,0.81,0.74,NA,5089,Primary Transit,low mass planet,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-780 b,NA,0.079,0.67737516,NA,2016,Primary Transit,,,281.766389,44.292549,520,0.05,1.01,1.02,NA,5769,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Colder than Sun
Kepler-781 b,NA,0.258,13.2140732,NA,2016,Primary Transit,,,287.653619,47.414811,1036,-0.1,0.81,0.78,NA,5162,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-782 b,NA,0.286,158.6853308,NA,2016,Primary Transit,,,288.868231,47.759434,412,-0.14,0.98,1.01,NA,5867,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-783 b,NA,0.07,4.29264638,NA,2016,Primary Transit,,,291.062936,47.484803,544,0.01,0.93,0.89,NA,5521,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-784 b,NA,0.141,31.5922646,NA,2016,Primary Transit,,,295.920663,47.448616,604,0.07,1,1.32,NA,5674,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Rich Star,Colder than Sun
Kepler-785 b,NA,1.162,1.97376093,NA,2016,Primary Transit,,,292.068304,38.842261,666,-0.02,0.77,0.71,NA,4739,Primary Transit,NA,NA,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-786 b,NA,0.217,53.5293487,NA,2016,Primary Transit,,,293.743938,38.939276,512,0.09,0.81,0.74,NA,4838,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-787 b,NA,0.114,0.9283105,NA,2016,Primary Transit,,,291.692465,38.572907,468,-0.09,0.65,0.62,NA,4248,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-788 b,NA,0.227,8.39846269,NA,2016,Primary Transit,,,290.000414,38.539892,1649,0.05,1.16,1.23,NA,6159,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-789 b,NA,0.189,8.63847725,NA,2016,Primary Transit,,,295.975153,38.946652,915,-0.06,1.01,1.02,NA,5870,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-79 b,0.034285,0.309568,13.4845,0.015,2013,Primary Transit,,,300.51712,44.38158,NA,NA,1.165,1.302,3.44,6174,Primary Transit,low mass planet,small planet,high mass star,large star,After 2013,NA,Hotter than Sun
Kepler-79 c,0.018558,0.332,27.4029,0.03,2013,Primary Transit,,,300.51712,44.38158,NA,NA,1.165,1.302,3.44,6174,Primary Transit,low mass planet,small planet,high mass star,large star,After 2013,NA,Hotter than Sun
Kepler-79 d,0.018872,0.64,52.0902,0.025,2013,Primary Transit,,,300.51712,44.38158,NA,NA,1.165,1.302,3.44,6174,Primary Transit,low mass planet,small planet,high mass star,large star,After 2013,NA,Hotter than Sun
Kepler-79 e,0.0129,0.312,81.0659,0.012,2013,Primary Transit,,,300.51712,44.38158,NA,NA,1.165,1.302,3.44,6174,Primary Transit,low mass planet,small planet,high mass star,large star,After 2013,NA,Hotter than Sun
Kepler-790 b,NA,0.194,13.73469807,NA,2016,Primary Transit,,,286.917117,38.872221,727,-0.05,0.84,0.8,NA,5208,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-791 b,NA,0.272,14.5539759,NA,2016,Primary Transit,,,293.595841,39.029477,1447,0.06,1.3,1.47,NA,6383,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-792 b,NA,0.175,11.30119217,NA,2016,Primary Transit,,,292.006813,38.820733,1205,0.08,1.09,1.12,NA,5971,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-793 b,NA,0.122,4.24153639,NA,2016,Primary Transit,,,295.21664,38.774343,794,0,0.98,0.97,NA,5745,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-794 b,NA,0.188,11.13125132,NA,2016,Primary Transit,,,288.133701,38.996881,763,0.34,1.19,1.38,NA,5839,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-795 b,NA,0.15,29.6193421,NA,2016,Primary Transit,,,291.019046,38.54558,458,-0.02,0.94,0.96,NA,5631,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-796 b,NA,0.116,6.40087618,NA,2016,Primary Transit,,,287.307857,39.144731,377,0.09,0.93,1.09,NA,5475,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Rich Star,Colder than Sun
Kepler-797 b,NA,0.194,27.07237711,NA,2016,Primary Transit,,,297.208965,41.781708,752,-0.02,0.96,0.95,NA,5680,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-798 b,NA,0.213,13.71933369,NA,2016,Primary Transit,,,292.478209,42.142291,1085,0.03,1.19,1.29,NA,6224,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-799 b,NA,0.614,133.4605235,NA,2016,Primary Transit,,,287.174894,44.878571,1029,-0.07,0.95,0.93,NA,5681,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-8 b,0.603,1.419,3.52254,0,2010,Primary Transit,,,281.2875,42.4511111,1330,-0.055,1.213,1.486,3.84,6213,Primary Transit,low mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Hotter than Sun
Kepler-80 b,0.0218,0.21,7.05,NA,2012,Primary Transit,TTV,,296.1125,39.9788889,NA,-0.56,NA,0.738,NA,4250,Primary Transit,low mass planet,small planet,NA,small star,2008-2012,Metal Poor Star,Colder than Sun
Kepler-80 c,0.0212,0.23,9.52,NA,2012,Primary Transit,TTV,Primary Transit,296.1125,39.9788889,NA,-0.56,NA,0.738,NA,4250,Primary Transit,low mass planet,small planet,NA,small star,2008-2012,Metal Poor Star,Colder than Sun
Kepler-80 d,0.0212,0.125,3.07,NA,2012,Primary Transit,TTV,,296.1125,39.9788889,NA,-0.56,NA,0.738,NA,4250,Primary Transit,low mass planet,small planet,NA,small star,2008-2012,Metal Poor Star,Colder than Sun
Kepler-80 e,0.013,0.134,4.64,NA,2012,Primary Transit,TTV,,296.1125,39.9788889,NA,-0.56,NA,0.738,NA,4250,Primary Transit,low mass planet,small planet,NA,small star,2008-2012,Metal Poor Star,Colder than Sun
Kepler-80 f,NA,0.116,0.99,NA,2012,Primary Transit,,,296.1125,39.9788889,NA,-0.56,NA,0.738,NA,4250,Primary Transit,NA,small planet,NA,small star,2008-2012,Metal Poor Star,Colder than Sun
Kepler-800 b,NA,0.254,14.13176026,NA,2016,Primary Transit,,,286.574823,44.795204,1049,-0.09,0.85,0.82,NA,5315,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-801 b,NA,0.178,11.41928253,NA,2016,Primary Transit,,,286.075243,44.664639,419,-0.17,0.67,0.63,NA,4435,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-802 b,NA,0.316,40.0587473,NA,2016,Primary Transit,,,286.015855,45.007767,828,0.06,0.93,0.9,NA,5507,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-803 b,NA,0.338,50.28638192,NA,2016,Primary Transit,,,299.221605,44.693874,615,0.02,1.05,1.12,NA,5919,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-804 b,NA,0.173,14.37457351,NA,2016,Primary Transit,,,293.37227,44.785137,648,0,1.01,1.05,NA,5817,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-804 c,NA,0.102,9.65185017,NA,2016,Primary Transit,,,293.37227,44.785137,648,0,1.01,1.05,NA,5817,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-805 b,NA,0.258,30.8638931,NA,2016,Primary Transit,,,293.229945,45.053314,657,-0.06,1.19,1.65,NA,6112,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
